year,month,date,hour,minute,second,et,x_cur,y_cur,x_log,y_log,z_log,yaw,bat
2024,11,20,15,30,18,848.946,-0.043,-0.042,-0.043,-0.042,0.016,-1.407,4.065
2024,11,20,15,30,18,949.360,-0.043,-0.042,-0.043,-0.042,0.017,-1.403,4.065
2024,11,20,15,30,18,1048.552,-0.044,-0.042,-0.044,-0.042,0.017,-1.404,4.065
2024,11,20,15,30,18,1148.818,-0.045,-0.042,-0.045,-0.042,0.016,-1.404,4.059
2024,11,20,15,30,19,1248.698,-0.044,-0.042,-0.044,-0.042,0.017,-1.402,4.065
2024,11,20,15,30,19,1348.569,-0.043,-0.042,-0.043,-0.042,0.02,-1.406,4.065
2024,11,20,15,30,19,1447.774,-0.043,-0.042,-0.043,-0.042,0.02,-1.401,4.059
2024,11,20,15,30,19,1547.843,-0.045,-0.042,-0.045,-0.042,0.017,-1.405,4.059
2024,11,20,15,30,19,1648.915,-0.043,-0.042,-0.043,-0.042,0.016,-1.398,4.054
2024,11,20,15,30,19,1748.707,-0.043,-0.042,-0.043,-0.042,0.016,-1.399,4.059
2024,11,20,15,30,19,1847.827,-0.0,-0.0,-0.0,-0.0,0.368,-0.001,4.059
2024,11,20,15,30,19,1947.386,-0.0,0.0,-0.0,0.0,0.018,-0.02,4.054
2024,11,20,15,30,19,2048.539,-0.001,0.0,-0.001,0.0,0.017,-0.036,4.059
2024,11,20,15,30,19,2147.885,0.0,0.001,0.0,0.001,0.017,-0.049,4.059
2024,11,20,15,30,20,2248.388,0.0,-0.0,0.0,-0.0,0.016,-0.061,4.059
2024,11,20,15,30,20,2347.962,-0.001,0.001,-0.001,0.001,0.015,-0.071,4.065
2024,11,20,15,30,20,2450.271,-0.0,0.0,-0.0,0.0,0.016,-0.081,4.059
2024,11,20,15,30,20,2547.904,0.0,0.0,0.0,0.0,0.016,-0.092,4.065
2024,11,20,15,30,20,2647.147,-0.001,0.0,-0.001,0.0,0.015,-0.106,4.065
2024,11,20,15,30,20,2747.905,0.0,0.001,0.0,0.001,0.016,-0.119,4.065
2024,11,20,15,30,20,2848.602,-0.0,-0.0,-0.0,-0.0,0.016,-0.125,4.049
2024,11,20,15,30,20,2948.764,0.0,-0.0,0.0,-0.0,0.019,-0.135,4.065
2024,11,20,15,30,20,3048.322,0.0,0.0,0.0,0.0,0.018,-0.144,4.059
2024,11,20,15,30,20,3152.104,0.0,0.0,0.0,0.0,0.017,-0.16,4.065
2024,11,20,15,30,21,3247.534,0.0,0.0,0.0,0.0,0.017,-0.172,4.059
2024,11,20,15,30,21,3347.305,-0.001,0.0,-0.001,0.0,0.017,-0.182,4.065
2024,11,20,15,30,21,3451.225,-0.002,0.0,-0.002,0.0,0.018,-0.193,4.054
2024,11,20,15,30,21,3549.940,0.0,0.0,0.0,0.0,0.018,-0.206,4.054
